"","mouse.names","human.names","mouse.ensemble"
"2689","Rrp1b","RRP1B","ENSMUSG00000058392"
"2690","Rgs4","RGS4","ENSMUSG00000038530"
"2691","Grwd1","GRWD1","ENSMUSG00000053801"
"2692","Pdcd4","PDCD4","ENSMUSG00000024975"
"2693","Jph2","JPH2","ENSMUSG00000017817"
"2694","Kat5","KAT5","ENSMUSG00000024926"
"2695","Grhl3","GRHL3","ENSMUSG00000037188"
"2696","Rep15","REP15","ENSMUSG00000040121"
"2697","Mybbp1a","MYBBP1A","ENSMUSG00000040463"
"2698","Apeh","APEH","ENSMUSG00000032590"
"2699","Klhl41","KLHL41","ENSMUSG00000075307"
"2700","Noc3l","NOC3L","ENSMUSG00000024999"
"2701","Tbc1d4","TBC1D4","ENSMUSG00000033083"
"2702","Cpox","CPOX","ENSMUSG00000022742"
"2703","Ugcg","UGCG","ENSMUSG00000028381"
"2704","Ccnjl","CCNJL","ENSMUSG00000044707"
"2705","Zfp513","ZNF513","ENSMUSG00000043059"
"2706","Lrrfip1","LRRFIP1","ENSMUSG00000026305"
"2707","Lmbr1l","LMBR1L","ENSMUSG00000022999"
"2708","Sipa1l1","SIPA1L1","ENSMUSG00000042700"
"2709","Hells","HELLS","ENSMUSG00000025001"
"2710","Garnl3","GARNL3","ENSMUSG00000038860"
"2711","Tmem177","TMEM177","ENSMUSG00000036975"
"2712","Rad21","RAD21","ENSMUSG00000022314"
"2713","D630003M21Rik","KIAA1755","ENSMUSG00000037813"
"2714","Sash1","SASH1","ENSMUSG00000015305"
"2715","Gng5","GNG5","ENSMUSG00000068523"
"2717","Dact2","DACT2","ENSMUSG00000048826"
"2718","Tsg101","TSG101","ENSMUSG00000014402"
"2719","Nodal","NODAL","ENSMUSG00000037171"
"2720","Atpaf1","ATPAF1","ENSMUSG00000028710"
"2721","Ptpn1","PTPN1","ENSMUSG00000027540"
"2722","Tfdp2","TFDP2","ENSMUSG00000032411"
"2724","Sult2a2","SULT2A1","ENSMUSG00000070811"
"2730","Sult2b1","SULT2B1","ENSMUSG00000003271"
"2733","Rps6ka1","RPS6KA1","ENSMUSG00000003644"
"2734","Rps6ka3","RPS6KA3","ENSMUSG00000031309"
"2735","Efemp2","EFEMP2","ENSMUSG00000024909"
"2736","Unc119b","UNC119B","ENSMUSG00000046562"
"2737","Usp10","USP10","ENSMUSG00000031826"
"2738","Rreb1","RREB1","ENSMUSG00000039087"
"2739","Bmper","BMPER","ENSMUSG00000031963"
"2740","Echdc2","ECHDC2","ENSMUSG00000028601"
"2741","Cop1","COP1","ENSMUSG00000040782"
"2742","Skp2","SKP2","ENSMUSG00000054115"
"2743","Arl4a","ARL4A","ENSMUSG00000047446"
"2744","Mrpl47","MRPL47","ENSMUSG00000037531"
"2745","Creb3l1","CREB3L1","ENSMUSG00000027230"
"2746","Epha2","EPHA2","ENSMUSG00000006445"
"2747","Epha1","EPHA1","ENSMUSG00000029859"
"2748","Aff3","AFF3","ENSMUSG00000037138"
"2749","Impdh1","IMPDH1","ENSMUSG00000003500"
"2750","Mcam","MCAM","ENSMUSG00000032135"
"2751","Hspbp1","HSPBP1","ENSMUSG00000063802"
"2752","Lmo7","LMO7","ENSMUSG00000033060"
"2753","Thrap3","THRAP3","ENSMUSG00000043962"
"2754","Chm","CHM","ENSMUSG00000025531"
"2755","Chml","CHML","ENSMUSG00000078185"
"2756","Bbs7","BBS7","ENSMUSG00000037325"
"2757","Selenop","SELENOP","ENSMUSG00000064373"
"2758","Rapsn","RAPSN","ENSMUSG00000002104"
"2759","Chrm2","CHRM2","ENSMUSG00000045613"
"2760","Opn4","OPN4","ENSMUSG00000021799"
"2761","Tph1","TPH1","ENSMUSG00000040046"
"2762","Cxcl12","CXCL12","ENSMUSG00000061353"
"2763","Myo6","MYO6","ENSMUSG00000033577"
"2764","P2rx1","P2RX1","ENSMUSG00000020787"
"2765","P2rx2","P2RX2","ENSMUSG00000029503"
"2766","P2rx5","P2RX5","ENSMUSG00000005950"
"2767","P2rx7","P2RX7","ENSMUSG00000029468"
"2768","Gli1","GLI1","ENSMUSG00000025407"
"2769","Fgfr2","FGFR2","ENSMUSG00000030849"
"2770","Prkaa1","PRKAA1","ENSMUSG00000050697"
"2771","Dlst","DLST","ENSMUSG00000004789"
"2772","Prdx2","PRDX2","ENSMUSG00000005161"
"2773","Clic4","CLIC4","ENSMUSG00000037242"
"2774","Hspb1","HSPB1","ENSMUSG00000004951"
"2775","Snai2","SNAI2","ENSMUSG00000022676"
"2776","Txnrd3","TXNRD3","ENSMUSG00000000811"
"2777","Dio2","DIO2","ENSMUSG00000007682"
"2778","Selenot","SELENOT","ENSMUSG00000075700"
"2779","Selenon","SELENON","ENSMUSG00000050989"
"2780","Ldlrap1","LDLRAP1","ENSMUSG00000037295"
"2781","Etnk1","ETNK1","ENSMUSG00000030275"
"2782","Pik3c2a","PIK3C2A","ENSMUSG00000030660"
"2783","Dio1","DIO1","ENSMUSG00000034785"
"2784","Nmrk2","NMRK2","ENSMUSG00000004939"
"2785","Avp","AVP","ENSMUSG00000037727"
"2786","Oxt","OXT","ENSMUSG00000027301"
"2787","Clock","CLOCK","ENSMUSG00000029238"
"2788","Npas2","NPAS2","ENSMUSG00000026077"
"2789","Ktn1","KTN1","ENSMUSG00000021843"
"2790","Gpx1","GPX1","ENSMUSG00000063856"
"2791","Gpx4","GPX4","ENSMUSG00000075706"
"2792","Selenom","SELENOM","ENSMUSG00000075702"
"2793","Selenow","SELENOW","ENSMUSG00000041571"
"2794","Selenoh","SELENOH","ENSMUSG00000076437"
"2795","Msrb1","MSRB1","ENSMUSG00000075705"
"2796","Alg8","ALG8","ENSMUSG00000035704"
"2797","Eppk1","EPPK1","ENSMUSG00000118671"
"2798","Plcg1","PLCG1","ENSMUSG00000016933"
"2799","Ranbp6","RANBP6","ENSMUSG00000074909"
"2800","Ipo5","IPO5","ENSMUSG00000030662"
"2801","Rybp","RYBP","ENSMUSG00000072872"
"2802","Kmo","KMO","ENSMUSG00000039783"
"2803","Bin1","BIN1","ENSMUSG00000024381"
"2804","Ppm1g","PPM1G","ENSMUSG00000029147"
"2805","Alg6","ALG6","ENSMUSG00000073792"
"2806","Cntn1","CNTN1","ENSMUSG00000055022"
"2807","Mien1","MIEN1","ENSMUSG00000002580"
"2809","Zbtb10","ZBTB10","ENSMUSG00000069114"
"2810","Ccnb2","CCNB2","ENSMUSG00000032218"
"2811","Hpx","HPX","ENSMUSG00000030895"
"2812","Pbk","PBK","ENSMUSG00000022033"
"2813","Dab2","DAB2","ENSMUSG00000022150"
"2814","Golgb1","GOLGB1","ENSMUSG00000034243"
"2815","Sp5","SP5","ENSMUSG00000075304"
"2816","Mc1r","MC1R","ENSMUSG00000074037"
"2817","Mc2r","MC2R","ENSMUSG00000045569"
"2818","Mc3r","MC3R","ENSMUSG00000038537"
"2819","Mchr1","MCHR1","ENSMUSG00000050164"
"2820","Foxi2","FOXI2","ENSMUSG00000048377"
"2821","Foxi1","FOXI1","ENSMUSG00000047861"
"2822","Prl","PRL","ENSMUSG00000021342"
"2823","Pomc","POMC","ENSMUSG00000020660"
"2824","Rab40c","RAB40C","ENSMUSG00000025730"
"2825","Pinx1","PINX1","ENSMUSG00000021958"
"2826","Mad2l1","MAD2L1","ENSMUSG00000029910"
"2827","Gid8","GID8","ENSMUSG00000027573"
"2828","Nrarp","NRARP","ENSMUSG00000078202"
"2829","Nap1l1","NAP1L1","ENSMUSG00000058799"
"2830","Col18a1","COL18A1","ENSMUSG00000001435"
"2831","Ypel3","YPEL3","ENSMUSG00000042675"
"2832","Clybl","CLYBL","ENSMUSG00000025545"
"2833","Tg","TG","ENSMUSG00000053469"
"2834","Nrp1","NRP1","ENSMUSG00000025810"
"2835","Il13ra2","IL13RA2","ENSMUSG00000031289"
"2836","Dpy19l1","DPY19L1","ENSMUSG00000043067"
"2837","Erlec1","ERLEC1","ENSMUSG00000020311"
"2838","Xirp2","XIRP2","ENSMUSG00000027022"
"2839","Cnp","CNP","ENSMUSG00000006782"
"2840","Uaca","UACA","ENSMUSG00000034485"
"2841","Mns1","MNS1","ENSMUSG00000032221"
"2842","Pdia5","PDIA5","ENSMUSG00000022844"
"2843","Slc16a1","SLC16A1","ENSMUSG00000032902"
"2844","Kcnj4","KCNJ4","ENSMUSG00000044216"
"2845","Myl4","MYL4","ENSMUSG00000061086"
"2846","Tnnc1","TNNC1","ENSMUSG00000091898"
"2848","Adh6b","ADH6","ENSMUSG00000074206"
"2849","Adh7","ADH7","ENSMUSG00000055301"
"2850","Adh4","ADH4","ENSMUSG00000037797"
"2851","Patj","PATJ","ENSMUSG00000061859"
"2852","Smarca4","SMARCA4","ENSMUSG00000032187"
"2853","Timp2","TIMP2","ENSMUSG00000017466"
"2854","Dusp6","DUSP6","ENSMUSG00000019960"
"2855","Ltk","LTK","ENSMUSG00000027297"
"2856","Alk","ALK","ENSMUSG00000055471"
"2857","Itpka","ITPKA","ENSMUSG00000027296"
"2858","Ier5","IER5","ENSMUSG00000056708"
"2859","Pdzk1ip1","PDZK1IP1","ENSMUSG00000028716"
"2860","Brk1","BRK1","ENSMUSG00000033940"
"2861","Col5a2","COL5A2","ENSMUSG00000026042"
"2862","Mycbp2","MYCBP2","ENSMUSG00000033004"
"2863","Cacna1d","CACNA1D","ENSMUSG00000015968"
"2864","Scel","SCEL","ENSMUSG00000022123"
"2865","Mis18bp1","MIS18BP1","ENSMUSG00000047534"
"2866","Heatr5a","HEATR5A","ENSMUSG00000035181"
"2867","Hectd1","HECTD1","ENSMUSG00000035247"
"2868","Zfp385b","ZNF385B","ENSMUSG00000027016"
"2869","Ccdc157","CCDC157","ENSMUSG00000051427"
"2870","Sf3a1","SF3A1","ENSMUSG00000002129"
"2871","Pold2","POLD2","ENSMUSG00000020471"
"2872","Pqbp1","PQBP1","ENSMUSG00000031157"
"2873","Gpkow","GPKOW","ENSMUSG00000031148"
"2874","Myh10","MYH10","ENSMUSG00000020900"
"2875","Map4k2","MAP4K2","ENSMUSG00000024948"
"2876","Rnd2","RND2","ENSMUSG00000001313"
"2877","Vat1","VAT1","ENSMUSG00000034993"
"2878","Actr1b","ACTR1B","ENSMUSG00000037351"
"2879","Atmin","ATMIN","ENSMUSG00000047388"
"2880","Itsn1","ITSN1","ENSMUSG00000022957"
"2881","Stat1","STAT1","ENSMUSG00000026104"
"2882","Tap2","TAP2","ENSMUSG00000024339"
"2883","Ubtf","UBTF","ENSMUSG00000020923"
"2884","Tmub2","TMUB2","ENSMUSG00000034757"
"2885","Ivd","IVD","ENSMUSG00000027332"
"2886","Stat4","STAT4","ENSMUSG00000062939"
"2887","Tnni1","TNNI1","ENSMUSG00000026418"
"2888","Phlda3","PHLDA3","ENSMUSG00000041801"
"2889","Lad1","LAD1","ENSMUSG00000041782"
"2890","Pcdh15","PCDH15","ENSMUSG00000052613"
"2891","H2-Ea","HLA-DRA","ENSMUSG00000036322"
"2892","H2-Oa","HLA-DOA","ENSMUSG00000024334"
"2893","Klhl6","KLHL6","ENSMUSG00000043008"
"2894","Mindy2","MINDY2","ENSMUSG00000042444"
"2895","Arf3","ARF3","ENSMUSG00000051853"
"2896","Ccdc65","CCDC65","ENSMUSG00000003354"
"2897","Mdga2","MDGA2","ENSMUSG00000034912"
"2898","Asnsd1","ASNSD1","ENSMUSG00000026095"
"2899","Nsf","NSF","ENSMUSG00000034187"
"2900","Dusp3","DUSP3","ENSMUSG00000003518"
"2901","Grk3","GRK3","ENSMUSG00000042249"
"2902","Prcc","PRCC","ENSMUSG00000004895"
"2903","Cldn8","CLDN8","ENSMUSG00000050520"
"2904","Cldn17","CLDN17","ENSMUSG00000055811"
"2905","Trio","TRIO","ENSMUSG00000022263"
"2906","Chsy3","CHSY3","ENSMUSG00000058152"
"2907","Matr3","MATR3","ENSMUSG00000037236"
"2908","G2e3","G2E3","ENSMUSG00000035293"
"2909","Coch","COCH","ENSMUSG00000020953"
"2910","Ap4s1","AP4S1","ENSMUSG00000020955"
"2911","Strn3","STRN3","ENSMUSG00000020954"
"2912","Cenpn","CENPN","ENSMUSG00000031756"
"2913","Cmc2","CMC2","ENSMUSG00000014633"
"2914","Cblb","CBLB","ENSMUSG00000022637"
"2915","Pde6a","PDE6A","ENSMUSG00000024575"
"2916","Prpf39","PRPF39","ENSMUSG00000035597"
"2917","Ppargc1b","PPARGC1B","ENSMUSG00000033871"
"2918","Skap2","SKAP2","ENSMUSG00000059182"
"2919","Epb41l5","EPB41L5","ENSMUSG00000026383"
"2920","Ing5","ING5","ENSMUSG00000026283"
"2921","Snx9","SNX9","ENSMUSG00000002365"
"2922","Lpar1","LPAR1","ENSMUSG00000038668"
"2923","Wdr75","WDR75","ENSMUSG00000025995"
"2924","Atp11c","ATP11C","ENSMUSG00000062949"
"2925","Cldn10","CLDN10","ENSMUSG00000022132"
"2926","Rsu1","RSU1","ENSMUSG00000026727"
"2927","Mcf2","MCF2","ENSMUSG00000031139"
"2928","Tmprss3","TMPRSS3","ENSMUSG00000024034"
"2929","Cadps","CADPS","ENSMUSG00000054423"
"2930","Pms1","PMS1","ENSMUSG00000026098"
"2931","Ormdl1","ORMDL1","ENSMUSG00000026097"
"2932","Cpvl","CPVL","ENSMUSG00000052955"
"2933","Osgepl1","OSGEPL1","ENSMUSG00000026096"
"2934","Ankar","ANKAR","ENSMUSG00000039342"
"2935","Thoc2l","THOC2","ENSMUSG00000097392"
"2937","Kpna3","KPNA3","ENSMUSG00000021929"
"2938","Ebpl","EBPL","ENSMUSG00000021928"
"2939","Tmem267","TMEM267","ENSMUSG00000074634"
"2940","Gls","GLS","ENSMUSG00000026103"
"2941","Gas2","GAS2","ENSMUSG00000030498"
"2942","Alg12","ALG12","ENSMUSG00000035845"
"2943","Pkd2l1","PKD2L1","ENSMUSG00000037578"
"2944","Ccdc80","CCDC80","ENSMUSG00000022665"
"2945","Tbp","TBP","ENSMUSG00000014767"
"2946","Rab1a","RAB1A","ENSMUSG00000020149"
"2947","Cep68","CEP68","ENSMUSG00000044066"
"2948","Sertad2","SERTAD2","ENSMUSG00000049800"
"2949","Lgalsl","LGALSL","ENSMUSG00000042363"
"2950","Htr5a","HTR5A","ENSMUSG00000039106"
"2951","Ptf1a","PTF1A","ENSMUSG00000026735"
"2952","Dlgap1","DLGAP1","ENSMUSG00000003279"
"2953","1700123O20Rik","C14orf119","ENSMUSG00000040822"
"2954","Acin1","ACIN1","ENSMUSG00000022185"
"2955","Prmt5","PRMT5","ENSMUSG00000023110"
"2956","Prkdc","PRKDC","ENSMUSG00000022672"
"2957","Slc1a4","SLC1A4","ENSMUSG00000020142"
"2958","Slc35a5","SLC35A5","ENSMUSG00000022664"
"2959","Slc7a8","SLC7A8","ENSMUSG00000022180"
"2960","Slc17a6","SLC17A6","ENSMUSG00000030500"
"2961","Tulp1","TULP1","ENSMUSG00000037446"
"2962","Dhrs1","DHRS1","ENSMUSG00000002332"
"2963","Def6","DEF6","ENSMUSG00000002257"
"2964","Plcb3","PLCB3","ENSMUSG00000024960"
"2965","Ppp1r14b","PPP1R14B","ENSMUSG00000056612"
"2967","Ctnnd2","CTNND2","ENSMUSG00000022240"
"2968","Pcgf1","PCGF1","ENSMUSG00000069678"
"2969","Iars2","IARS2","ENSMUSG00000026618"
"2970","Otud5","OTUD5","ENSMUSG00000031154"
"2971","Rab3gap2","RAB3GAP2","ENSMUSG00000039318"
"2972","Atp6v1c1","ATP6V1C1","ENSMUSG00000022295"
"2973","Rrm2b","RRM2B","ENSMUSG00000022292"
"2974","Mtdh","MTDH","ENSMUSG00000022255"
"2975","Laptm4b","LAPTM4B","ENSMUSG00000022257"
"2976","Echs1","ECHS1","ENSMUSG00000025465"
"2977","Fuom","FUOM","ENSMUSG00000025466"
"2978","Brms1","BRMS1","ENSMUSG00000080268"
"2979","Zfp511","ZNF511","ENSMUSG00000025470"
"2980","Adam8","ADAM8","ENSMUSG00000025473"
"2981","Dnah6","DNAH6","ENSMUSG00000052861"
"2982","Zfp536","ZNF536","ENSMUSG00000043456"
"2983","Slc6a12","SLC6A12","ENSMUSG00000030109"
"2984","Bcap31","BCAP31","ENSMUSG00000002015"
"2985","Fkbp5","FKBP5","ENSMUSG00000024222"
"2986","Ihh","IHH","ENSMUSG00000006538"
"2987","Efr3b","EFR3B","ENSMUSG00000020658"
"2988","Ube2h","UBE2H","ENSMUSG00000039159"
"2989","Alg13","ALG13","ENSMUSG00000041718"
"2990","Alg14","ALG14","ENSMUSG00000039887"
"2991","Alg3","ALG3","ENSMUSG00000033809"
"2992","Nkrf","NKRF","ENSMUSG00000044149"
"2993","Arr3","ARR3","ENSMUSG00000060890"
"2994","P2ry4","P2RY4","ENSMUSG00000044359"
"2995","Rflna","RFLNA","ENSMUSG00000037962"
"2996","Ncor2","NCOR2","ENSMUSG00000029478"
"2997","Cntfr","CNTFR","ENSMUSG00000028444"
"2998","Tgfb1","TGFB1","ENSMUSG00000002603"
"2999","Hic2","HIC2","ENSMUSG00000050240"
"3000","Plk4","PLK4","ENSMUSG00000025758"
"3001","Plau","PLAU","ENSMUSG00000021822"
"3002","Mrtfb","MRTFB","ENSMUSG00000009569"
"3003","Ctsc","CTSC","ENSMUSG00000030560"
"3004","Ptn","PTN","ENSMUSG00000029838"
"3005","Anxa4","ANXA4","ENSMUSG00000029994"
"3006","Hes5","HES5","ENSMUSG00000048001"
"3007","Anxa6","ANXA6","ENSMUSG00000018340"
"3008","Anxa11","ANXA11","ENSMUSG00000021866"
"3009","Zic3","ZIC3","ENSMUSG00000067860"
"3010","Rtn4","RTN4","ENSMUSG00000020458"
"3011","Gpm6b","GPM6B","ENSMUSG00000031342"
"3012","Rtn3","RTN3","ENSMUSG00000024758"
"3013","Gpm6a","GPM6A","ENSMUSG00000031517"
"3014","Tfpi","TFPI","ENSMUSG00000027082"
"3015","Serpind1","SERPIND1","ENSMUSG00000022766"
"3016","Atp6v1b2","ATP6V1B2","ENSMUSG00000006273"
"3017","Fgf18","FGF18","ENSMUSG00000057967"
"3018","F9","F9","ENSMUSG00000031138"
"3019","Fgf10","FGF10","ENSMUSG00000021732"
"3020","Ptpn2","PTPN2","ENSMUSG00000024539"
"3021","Arhgef2","ARHGEF2","ENSMUSG00000028059"
"3022","Wnt2b","WNT2B","ENSMUSG00000027840"
"3023","Cds2","CDS2","ENSMUSG00000058793"
"3024","Dixdc1","DIXDC1","ENSMUSG00000032064"
"3025","Ifnb1","IFNB1","ENSMUSG00000048806"
"3026","Slc26a2","SLC26A2","ENSMUSG00000034320"
"3027","Elk3","ELK3","ENSMUSG00000008398"
"3028","Msgn1","MSGN1","ENSMUSG00000047002"
"3029","Foxk2","FOXK2","ENSMUSG00000039275"
"3030","Mapk1","MAPK1","ENSMUSG00000063358"
"3031","Slit1","SLIT1","ENSMUSG00000025020"
"3032","Glo1","GLO1","ENSMUSG00000024026"
"3033","Tgfb2","TGFB2","ENSMUSG00000039239"
"3034","Tgfb3","TGFB3","ENSMUSG00000021253"
"3035","Dcp1a","DCP1A","ENSMUSG00000021962"
"3036","Egr2","EGR2","ENSMUSG00000037868"
"3037","Sgce","SGCE","ENSMUSG00000004631"
"3038","Sgcg","SGCG","ENSMUSG00000035296"
"3039","Gnrh1","GNRH1","ENSMUSG00000015812"
"3040","Prickle2","PRICKLE2","ENSMUSG00000030020"
"3041","Rgs9bp","RGS9BP","ENSMUSG00000056043"
"3042","Paqr7","PAQR7","ENSMUSG00000037348"
"3043","Paqr8","PAQR8","ENSMUSG00000025931"
"3044","Cxxc1","CXXC1","ENSMUSG00000024560"
"3045","Oprk1","OPRK1","ENSMUSG00000025905"
"3046","Cmtm6","CMTM6","ENSMUSG00000032434"
"3047","Helb","HELB","ENSMUSG00000020228"
"3048","Strbp","STRBP","ENSMUSG00000026915"
"3049","Penk","PENK","ENSMUSG00000045573"
"3050","Slirp","SLIRP","ENSMUSG00000021040"
"3051","Fgf15","FGF19","ENSMUSG00000031073"
"3052","Nat8l","NAT8L","ENSMUSG00000048142"
"3053","Gpt2","GPT2","ENSMUSG00000031700"
"3054","Lamp2","LAMP2","ENSMUSG00000016534"
"3055","Neurod4","NEUROD4","ENSMUSG00000048015"
"3056","Sestd1","SESTD1","ENSMUSG00000042272"
"3057","Tnr","TNR","ENSMUSG00000015829"
"3058","Txnip","TXNIP","ENSMUSG00000038393"
"3059","Lbr","LBR","ENSMUSG00000004880"
"3060","Gad2","GAD2","ENSMUSG00000026787"
"3061","Aifm1","AIFM1","ENSMUSG00000036932"
"3062","Nptn","NPTN","ENSMUSG00000032336"
"3063","Pdgfrb","PDGFRB","ENSMUSG00000024620"
"3064","Npff","NPFF","ENSMUSG00000023052"
"3065","Piwil1","PIWIL1","ENSMUSG00000029423"
"3066","Bdkrb1","BDKRB1","ENSMUSG00000041347"
"3067","Trp73","TP73","ENSMUSG00000029026"
"3068","Tmem35a","TMEM35A","ENSMUSG00000033578"
"3069","Zar1","ZAR1","ENSMUSG00000063935"
"3070","Trp63","TP63","ENSMUSG00000022510"
"3071","Kif1b","KIF1B","ENSMUSG00000063077"
"3072","Stat5b","STAT5B","ENSMUSG00000020919"
"3073","Stat5a","STAT5A","ENSMUSG00000004043"
"3074","Tshz1","TSHZ1","ENSMUSG00000046982"
"3075","Aldoc","ALDOC","ENSMUSG00000017390"
"3076","Esrrg","ESRRG","ENSMUSG00000026610"
"3077","Tuba1c","TUBA1C","ENSMUSG00000043091"
"3078","Tuba1b","TUBA1B","ENSMUSG00000023004"
"3079","Bcl2l10","BCL2L10","ENSMUSG00000032191"
"3080","Casp2","CASP2","ENSMUSG00000029863"
"3081","Ankzf1","ANKZF1","ENSMUSG00000026199"
"3082","Casp9","CASP9","ENSMUSG00000028914"
"3083","Birc2","BIRC2","ENSMUSG00000057367"
"3084","Birc3","BIRC3","ENSMUSG00000032000"
"3085","Birc5","BIRC5","ENSMUSG00000017716"
"3086","Tmbim6","TMBIM6","ENSMUSG00000023010"
"3087","Plaa","PLAA","ENSMUSG00000028577"
"3088","Rsph1","RSPH1","ENSMUSG00000024033"
"3089","Higd1a","HIGD1A","ENSMUSG00000038412"
"3090","Alg2","ALG2","ENSMUSG00000039740"
"3091","Tpm3","TPM3","ENSMUSG00000027940"
"3092","Prdx3","PRDX3","ENSMUSG00000024997"
"3093","Hif1an","HIF1AN","ENSMUSG00000036450"
"3094","Rab14","RAB14","ENSMUSG00000026878"
"3095","Cetn2","CETN2","ENSMUSG00000031347"
"3096","Cetn4","CETN4P","ENSMUSG00000045031"
"3097","Gorasp1","GORASP1","ENSMUSG00000032513"
"3098","Uox","UOX","ENSMUSG00000028186"
"3099","Msi2","MSI2","ENSMUSG00000069769"
"3100","Eif4ebp3","EIF4EBP3","ENSMUSG00000090264"
"3101","Ggcx","GGCX","ENSMUSG00000053460"
"3102","Ssr1","SSR1","ENSMUSG00000021427"
"3103","Pak1","PAK1","ENSMUSG00000030774"
"3104","Cflar","CFLAR","ENSMUSG00000026031"
"3105","Rab13","RAB13","ENSMUSG00000027935"
"3106","Gys2","GYS2","ENSMUSG00000030244"
"3107","Mvp","MVP","ENSMUSG00000030681"
"3108","Ndrg1","NDRG1","ENSMUSG00000005125"
"3109","Celf2","CELF2","ENSMUSG00000002107"
"3110","Dffb","DFFB","ENSMUSG00000029027"
"3111","Casp8ap2","CASP8AP2","ENSMUSG00000028282"
"3112","Thoc1","THOC1","ENSMUSG00000024287"
"3113","P4ha2","P4HA2","ENSMUSG00000018906"
"3114","Nid2","NID2","ENSMUSG00000021806"
"3115","Map3k5","MAP3K5","ENSMUSG00000071369"
"3116","Tpbg","TPBG","ENSMUSG00000035274"
"3117","Nusap1","NUSAP1","ENSMUSG00000027306"
"3118","Tjp3","TJP3","ENSMUSG00000034917"
"3119","Dynll2","DYNLL2","ENSMUSG00000020483"
"3120","Hspa9","HSPA9","ENSMUSG00000024359"
"3121","E2f5","E2F5","ENSMUSG00000027552"
"3122","Dnd1","DND1","ENSMUSG00000044595"
"3123","Hes6","HES6","ENSMUSG00000067071"
"3124","Pip4k2c","PIP4K2C","ENSMUSG00000025417"
"3125","Akip1","AKIP1","ENSMUSG00000031023"
"3126","Pcnt","PCNT","ENSMUSG00000001151"
"3127","Btbd2","BTBD2","ENSMUSG00000003344"
"3128","Ppp3cc","PPP3CC","ENSMUSG00000022092"
"3129","Ppp1r15b","PPP1R15B","ENSMUSG00000046062"
"3130","Bub1b","BUB1B","ENSMUSG00000040084"
"3131","Btbd6","BTBD6","ENSMUSG00000002803"
"3132","Mmp14","MMP14","ENSMUSG00000000957"
"3133","Cyp1b1","CYP1B1","ENSMUSG00000024087"
"3135","Ripk2","RIPK2","ENSMUSG00000041135"
"3136","Kctd12","KCTD12","ENSMUSG00000098557"
"3137","Cadps2","CADPS2","ENSMUSG00000017978"
"3138","Nr1i2","NR1I2","ENSMUSG00000022809"
"3139","Fyn","FYN","ENSMUSG00000019843"
"3140","Pde6g","PDE6G","ENSMUSG00000025386"
"3141","Gabbr1","GABBR1","ENSMUSG00000024462"
"3142","Ppp2r5e","PPP2R5E","ENSMUSG00000021051"
"3143","Vax2","VAX2","ENSMUSG00000034777"
"3144","Vax1","VAX1","ENSMUSG00000006270"
"3145","Itgb1","ITGB1","ENSMUSG00000025809"
"3146","Pck1","PCK1","ENSMUSG00000027513"
"3147","Gtpbp1","GTPBP1","ENSMUSG00000042535"
"3148","Tktl2","TKTL2","ENSMUSG00000025519"
"3149","Tkt","TKT","ENSMUSG00000021957"
"3150","Tktl1","TKTL1","ENSMUSG00000031397"
"3151","Hs6st2","HS6ST2","ENSMUSG00000062184"
"3152","Add1","ADD1","ENSMUSG00000029106"
"3153","Gad1","GAD1","ENSMUSG00000070880"
"3154","Csrp1","CSRP1","ENSMUSG00000026421"
"3155","Aktip","AKTIP","ENSMUSG00000031667"
"3156","Mcm6","MCM6","ENSMUSG00000026355"
"3157","Rdh10","RDH10","ENSMUSG00000025921"
"3158","Slc12a7","SLC12A7","ENSMUSG00000017756"
"3159","Cdh17","CDH17","ENSMUSG00000028217"
"3160","Ica1l","ICA1L","ENSMUSG00000026018"
"3161","Gjd2","GJD2","ENSMUSG00000068615"
"3162","Sbf2","SBF2","ENSMUSG00000038371"
"3163","Gstm4","GSTM4","ENSMUSG00000027890"
"3164","Gstm5","GSTM3","ENSMUSG00000004032"
"3165","Gstm3","GSTM1","ENSMUSG00000004038"
"3166","Gstm7","GSTM2","ENSMUSG00000004035"
"3168","Disp1","DISP1","ENSMUSG00000030768"
"3169","Atf2","ATF2","ENSMUSG00000027104"
"3170","Grem2","GREM2","ENSMUSG00000050069"
"3171","Bmp8b","BMP8B","ENSMUSG00000002384"
"3172","Rdh5","RDH5","ENSMUSG00000025350"
"3173","Rbms2","RBMS2","ENSMUSG00000040043"
"3174","Rpa1","RPA1","ENSMUSG00000000751"
"3175","Aaas","AAAS","ENSMUSG00000036678"
"3176","Fbxl3","FBXL3","ENSMUSG00000022124"
"3177","Stk36","STK36","ENSMUSG00000033276"
"3178","Trpv4","TRPV4","ENSMUSG00000014158"
"3179","Trpv1","TRPV1","ENSMUSG00000005952"
"3180","Trpv2","TRPV2","ENSMUSG00000018507"
"3181","Dhcr7","DHCR7","ENSMUSG00000058454"
"3182","Slbp","SLBP","ENSMUSG00000004642"
"3183","H2-M3","HLA-G","ENSMUSG00000016206"
"3184","Hfe","HFE","ENSMUSG00000006611"
"3185","Azgp1","AZGP1","ENSMUSG00000037053"
"3187","Mr1","MR1","ENSMUSG00000026471"
"3188","H2-T23","HLA-E","ENSMUSG00000067212"
"3189","Cntnap1","CNTNAP1","ENSMUSG00000017167"
"3190","Erbb3","ERBB3","ENSMUSG00000018166"
"3191","Ankrd6","ANKRD6","ENSMUSG00000040183"
